transacao_id,colaborador_id,empresa_id,data_transacao,produto,categoria,valor_brl,status_transacao,canal,cidade,estado
T000001,C0200,E005,2025-07-15,Cartão Multi Benefícios,Home Office,770.14,Aprovada,Físico,Rio de Janeiro,RJ
T000002,C0170,E005,2025-10-24,Caju Ciclos,Flex,705.6,Aprovada,Físico,Belo Horizonte,MG
T000003,C0191,E003,2025-12-06,Despesas Corporativas,Saúde,588.76,Aprovada,Online,São Paulo,SP
T000004,C0167,E001,2025-09-02,Caju Ciclos,Cultura,383.5,Aprovada,Online,Curitiba,PR
T000005,C0087,E006,2025-12-08,Caju Ciclos,Educação,195.25,Aprovada,Físico,Belo Horizonte,MG
T000006,C0198,E009,2026-02-20,Cartão Multi Benefícios,Saúde,735.42,Negada,Físico,São Paulo,SP
T000007,C0155,E004,2026-01-03,Despesas Corporativas,Mobilidade,627.01,Aprovada,App,Curitiba,PR
T000008,C0089,E008,2025-08-17,Cartão Multi Benefícios,Flex,780.74,Aprovada,Físico,São Paulo,SP
T000009,C0090,E002,2026-01-05,Premiações,Refeição,615.96,Aprovada,Online,São Paulo,SP
T000010,C0037,E007,2026-01-02,Cartão Multi Benefícios,Saúde,727.12,Aprovada,Físico,Rio de Janeiro,RJ
T000011,C0124,E007,2025-12-21,Premiações,Home Office,116.96,Aprovada,Físico,Rio de Janeiro,RJ
T000012,C0029,E003,2025-08-10,Premiações,Cultura,302.72,Negada,Físico,São Paulo,SP
T000013,C0170,E007,2025-12-20,Cartão Multi Benefícios,Refeição,722.84,Aprovada,Online,Curitiba,PR
T000014,C0097,E001,2025-08-22,Despesas Corporativas,Educação,361.0,Aprovada,Físico,Belo Horizonte,MG
T000015,C0082,E005,2025-12-22,Cartão Multi Benefícios,Refeição,745.08,Aprovada,App,Curitiba,PR
T000016,C0100,E007,2025-10-31,Premiações,Flex,486.56,Aprovada,Físico,Curitiba,PR
T000017,C0068,E004,2025-10-06,Cartão Multi Benefícios,Flex,397.75,Aprovada,Físico,Curitiba,PR
T000018,C0090,E003,2025-05-10,Cartão Multi Benefícios,Refeição,760.91,Aprovada,Online,Porto Alegre,RS
T000019,C0141,E006,2026-03-07,Premiações,Mobilidade,400.18,Aprovada,App,Curitiba,PR
T000020,C0033,E009,2025-11-28,Despesas Corporativas,Alimentação,718.73,Aprovada,Físico,Porto Alegre,RS
T000021,C0065,E009,2025-03-21,Despesas Corporativas,Cultura,659.25,Aprovada,Online,Porto Alegre,RS
T000022,C0017,E002,2025-08-08,Cartão Multi Benefícios,Flex,38.57,Aprovada,Físico,Belo Horizonte,MG
T000023,C0087,E009,2025-05-19,Cartão Multi Benefícios,Flex,203.6,Aprovada,Online,São Paulo,SP
T000024,C0168,E001,2025-08-10,Premiações,Flex,112.76,Aprovada,Online,São Paulo,SP
T000025,C0072,E005,2025-07-28,Premiações,Alimentação,316.42,Aprovada,App,Curitiba,PR
T000026,C0070,E002,2025-11-05,Despesas Corporativas,Refeição,655.6,Negada,App,Rio de Janeiro,RJ
T000027,C0109,E002,2025-07-07,Cartão Multi Benefícios,Home Office,661.03,Aprovada,Físico,Porto Alegre,RS
T000028,C0135,E006,2025-12-13,Premiações,Refeição,478.68,Aprovada,Físico,Porto Alegre,RS
T000029,C0150,E009,2025-06-05,Cartão Multi Benefícios,Saúde,723.96,Aprovada,Físico,Curitiba,PR
T000030,C0172,E001,2025-10-10,Cartão Multi Benefícios,Flex,146.08,Aprovada,App,São Paulo,SP
T000031,C0083,E008,2025-12-19,Premiações,Mobilidade,640.05,Negada,Online,São Paulo,SP
T000032,C0045,E003,2026-02-15,Premiações,Alimentação,283.44,Aprovada,App,Porto Alegre,RS
T000033,C0134,E010,2025-10-07,Despesas Corporativas,Alimentação,771.14,Aprovada,Físico,Curitiba,PR
T000034,C0072,E009,2025-11-01,Caju Ciclos,Refeição,210.56,Aprovada,Físico,Porto Alegre,RS
T000035,C0100,E004,2025-07-31,Premiações,Home Office,81.57,Aprovada,Online,Curitiba,PR
T000036,C0122,E004,2025-09-12,Despesas Corporativas,Educação,660.35,Aprovada,Online,Porto Alegre,RS
T000037,C0129,E008,2026-01-26,Despesas Corporativas,Educação,269.02,Aprovada,Online,Rio de Janeiro,RJ
T000038,C0193,E010,2025-08-06,Caju Ciclos,Cultura,772.67,Negada,App,Curitiba,PR
T000039,C0005,E008,2025-10-31,Premiações,Alimentação,100.39,Aprovada,App,Porto Alegre,RS
T000040,C0133,E008,2025-11-08,Despesas Corporativas,Home Office,655.95,Aprovada,Online,Porto Alegre,RS
T000041,C0062,E009,2025-11-07,Premiações,Cultura,784.46,Estornada,Online,Belo Horizonte,MG
T000042,C0113,E007,2025-09-05,Despesas Corporativas,Alimentação,388.55,Aprovada,Online,Belo Horizonte,MG
T000043,C0054,E001,2026-01-14,Cartão Multi Benefícios,Cultura,164.12,Negada,Físico,São Paulo,SP
T000044,C0173,E002,2025-07-16,Caju Ciclos,Home Office,496.68,Aprovada,Físico,Porto Alegre,RS
T000045,C0131,E010,2025-11-07,Despesas Corporativas,Alimentação,421.6,Aprovada,Físico,São Paulo,SP
T000046,C0173,E010,2025-08-26,Despesas Corporativas,Alimentação,481.36,Aprovada,App,Porto Alegre,RS
T000047,C0078,E002,2025-09-13,Cartão Multi Benefícios,Refeição,689.06,Aprovada,Online,Rio de Janeiro,RJ
T000048,C0153,E007,2025-05-01,Caju Ciclos,Saúde,552.61,Negada,Físico,São Paulo,SP
T000049,C0085,E001,2025-11-03,Premiações,Home Office,23.34,Aprovada,Físico,Porto Alegre,RS
T000050,C0054,E010,2026-02-01,Cartão Multi Benefícios,Home Office,459.21,Aprovada,App,Belo Horizonte,MG
T000051,C0142,E006,2025-04-10,Cartão Multi Benefícios,Educação,68.15,Aprovada,App,Porto Alegre,RS
T000052,C0117,E009,2025-09-06,Caju Ciclos,Refeição,382.35,Aprovada,Online,Belo Horizonte,MG
T000053,C0145,E008,2026-02-06,Cartão Multi Benefícios,Alimentação,772.7,Aprovada,App,Porto Alegre,RS
T000054,C0186,E007,2025-11-09,Despesas Corporativas,Saúde,627.39,Aprovada,App,Rio de Janeiro,RJ
T000055,C0080,E008,2025-09-01,Despesas Corporativas,Alimentação,665.36,Negada,App,Porto Alegre,RS
T000056,C0145,E008,2026-01-26,Despesas Corporativas,Home Office,283.11,Negada,Online,São Paulo,SP
